name,phone,dob,class_std,education_type,gender
Arjun Das,9876543210,14/05/2008,12,,male
Ananya Sharma,8765432109,20/11/2004,,Degree,female
Rahul Nair,7654321098,10/03/2012,8,,male
Sneha Iyer,6543210987,25/07/2002,,PG,female
Aditya Menon,9812345678,05/01/2010,10,,male
Priya Pillai,8723456789,12/09/2005,,ITI,female
Vikram Sethi,7634567890,30/12/2015,5,,male
Meera Reddy,6545678901,18/04/2003,,Degree,female
Kiran Varma,9456789012,22/06/2011,9,,male
Siddharth Rao,8345678901,08/10/2001,,PG,male
Deepa Krishnan,7234567890,14/02/2016,4,,female
Rohan Joshi,6123456789,30/08/2004,,ITI,male
Ishani Gupta,9012345678,05/03/2009,11,,female
Aman Singh,8901234567,15/12/2002,,Degree,male
Tara Bose,7890123456,27/05/2013,7,,female
Varun Saxena,6789012345,20/01/2000,,PG,male
Nandini Pal,9678901234,11/09/2014,6,,female
Sameer Khan,8567890123,02/06/2005,,ITI,male
Pooja Hegde,7456789012,19/11/2017,3,,female
Vivek Oberoi,6345678901,28/02/2003,,Degree,male
