name,phone,dob,class_std,education_type,gender,org_name
Rahul,9876543210,10/05/2012,8,,male,Unit A
Sneha,9123456789,20/08/2008,11,,female,Unit B
Arjun,9988776655,15/03/2002,,Degree,male,Unit C
Priya,8877665544,22/11/2014,5,,female,Unit D
Mohammed,7766554433,05/01/2006,12,,male,Unit E
Anjali,6655443322,30/07/2000,,PG,female,Unit F
Karthik,5544332211,14/02/2011,9,,male,Unit G
Fathima,4433221100,25/12/2007,10,,female,Unit H
Vishnu,3322110099,10/09/2003,,ITI,male,Unit I
Lakshmi,2211009988,01/06/2015,4,,female,Unit J
Akash,1100998877,18/04/2005,12,,male,Unit K
Kavya,9012345678,12/12/1999,,Degree,female,Unit L
Rohan,8098765432,30/01/2013,6,,male,Unit M
Meera,7087654321,05/10/2009,10,,female,Unit N
Sidharth,6076543210,11/11/2001,,PG,male,Unit O
